report_date,region,country,location_name,post_emergency,refugee_pop,persons_per_tap,liters_person_day,safe_water_perc,persons_per_shower,persons_per_toilet,toilets_per_HH_percentage,persons_per_hygiene_promoter
2024-06,Sub-Saharan Africa,Ethiopia,Sherkole,Post-emergency,16160,169,11,100,11,12,33,1243
2024-06,Sub-Saharan Africa,Ethiopia,Tsore Camp (Assosa),Post-emergency,43789,200,17,100,14,14,31,2432
2024-06,Western Asia,Iraq,Arbat,Post-emergency,9138,NA,58,100,5,5,100,NA
2024-06,Western Asia,Iraq,Basirma,Post-emergency,9294,19,19,100,5,5,100,NA
2024-06,Western Asia,Iraq,Kawergosk,Post-emergency,7795,6,127,100,5,6,100,974
2024-06,Western Asia,Iraq,Qushtapa,Post-emergency,8392,7,104,100,6,6,100,95
2024-06,Sub-Saharan Africa,Kenya,Dagahaley,Post-emergency,111725,133,18,97,NA,9,53,9310
2024-06,Sub-Saharan Africa,Kenya,Hagadera,Post-emergency,146356,176,14,92,NA,9,60,12196
2024-06,Sub-Saharan Africa,Kenya,Ifo,Post-emergency,102459,89,13,99,NA,9,57,8538
2024-06,Sub-Saharan Africa,Kenya,Ifo 2,Post-emergency,22099,91,19,NA,NA,22,10,3683
2024-06,Sub-Saharan Africa,Malawi,Dzaleka,Post-emergency,49473,124,16,100,6,4,84,933
2024-06,Sub-Saharan Africa,Niger,Abala,Post-emergency,11650,153,14,NA,70,22,16,1664
2024-06,Sub-Saharan Africa,Niger,Ayerou,Post-emergency,9000,250,8,NA,111,120,0,1285
2024-06,Sub-Saharan Africa,Niger,Centre humanitaire Agadez,Emergency,2791,NA,22,NA,90,45,0,NA
2024-06,Sub-Saharan Africa,Niger,Chadakori,Post-emergency,5282,252,7,NA,58,29,8,330
2024-06,Sub-Saharan Africa,Niger,Dandaji Makao,Post-emergency,4180,418,9,NA,48,27,8,261
2024-06,Sub-Saharan Africa,Niger,Garin Kaka,Post-emergency,2937,210,13,NA,54,20,13,183
2024-06,Sub-Saharan Africa,Niger,Ouallam,Post-emergency,6467,98,12,NA,101,15,27,NA
2024-06,Sub-Saharan Africa,Niger,Sayam Forage,Post-emergency,31174,294,10,NA,149,23,14,3463
2024-06,Sub-Saharan Africa,Rwanda,Kigeme,Post-emergency,14695,81,17,100,42,34,0,816
2024-06,Sub-Saharan Africa,Rwanda,Kiziba,Post-emergency,14372,42,44,100,57,21,0,312
2024-06,Sub-Saharan Africa,Rwanda,Mahama,Post-emergency,63613,82,20,100,19,19,0,617
2024-06,Sub-Saharan Africa,Rwanda,Mugombwa,Post-emergency,11895,75,23,100,37,26,0,NA
2024-06,Sub-Saharan Africa,Rwanda,Nyabiheke,Post-emergency,11866,75,17,100,40,16,0,320
2024-06,Northern Africa,Sudan,Al Jameya,Post-emergency,28882,257,12,67,NA,24,18,1805
2024-06,Northern Africa,Sudan,Al Kashafa,Post-emergency,20357,198,8,68,NA,23,20,NA
2024-06,Northern Africa,Sudan,Al Redis 1,Post-emergency,15266,216,14,68,NA,19,21,954
2024-06,Northern Africa,Sudan,Al Redis 2,Post-emergency,40048,228,7,76,NA,48,7,2503
2024-06,Northern Africa,Sudan,Alagaya,Post-emergency,61827,310,7,0,NA,112,3,3864
2024-06,Northern Africa,Sudan,Babikir,Post-emergency,2698,50,24,NA,8,8,28,1349
